date,price
2016-12-10 21:02:00,139.96
2016-12-14 21:52:00,139.11
2016-12-18 05:56:00,140.24
2016-12-22 11:06:00,141.11
2016-12-27 01:54:00,141.4
2016-12-30 13:20:00,142.28
2017-01-05 19:16:00,148.47
2017-01-09 23:52:00,146.89
2017-01-11 12:36:00,150.73
2017-01-19 21:50:00,152.05
2017-01-21 04:38:00,149.43
2017-01-22 03:28:00,150.74
2017-01-22 08:28:00,149.43
2017-01-23 03:28:00,150.74
2017-01-23 10:16:00,149.43
2017-01-24 03:50:00,147.83
2017-01-25 03:58:00,148.78
2017-01-26 05:04:00,145.65
2017-01-27 03:36:00,146.93
2017-01-27 05:56:00,148.18
2017-01-27 07:40:00,146.89
2017-01-27 13:38:00,148.18
2017-01-28 05:20:00,145.7
2017-01-31 03:54:00,145.1
2017-01-31 05:44:00,146.36
2017-01-31 11:38:00,145.1
2017-02-01 05:26:00,145.4
2017-02-02 04:48:00,144.49
2017-02-03 03:54:00,143.6
2017-02-04 04:28:00,142.14
2017-02-07 05:44:00,143.6
2017-02-08 05:08:00,143.9
2017-02-09 04:48:00,143.01
2017-02-10 05:00:00,142.14
2017-02-14 04:28:00,141.56
2017-02-15 05:48:00,141.28
2017-02-16 04:24:00,141.56
2017-02-17 06:44:00,142.14
2017-02-18 05:32:00,142.72
2017-02-21 04:56:00,142.14
2017-02-22 03:44:00,139.58
2017-02-23 04:04:00,139.03
2017-03-09 00:16:00,140.23
2017-03-09 04:52:00,139.03
2017-03-13 20:50:00,140.23
2017-03-14 01:56:00,139.03
2017-03-15 14:08:00,140.23
2017-03-28 01:00:00,132.08
2017-03-28 23:42:00,133.08
2017-03-29 22:48:00,134.09
2017-03-30 22:52:00,131.58
2017-04-01 00:12:00,131.83
2017-04-05 01:16:00,131.34
2017-04-05 23:44:00,132.57
2017-04-07 23:04:00,132.08
2017-04-08 23:20:00,131.34
2017-04-12 00:48:00,131.58
2017-04-12 23:48:00,132.33
2017-04-14 01:10:00,130.61
2017-04-14 22:48:00,130.85
2017-04-15 23:54:00,130.36
2017-04-18 23:16:00,130.12
2017-04-20 00:02:00,130.85
2017-04-20 23:20:00,132.57
2017-04-21 22:44:00,132.33
2017-04-26 00:08:00,131.83
2017-04-26 23:12:00,132.82
2017-04-27 23:26:00,135.12
2017-04-28 03:44:00,nan
2017-04-28 05:12:00,135.12
2017-04-29 00:08:00,133.83
2017-04-29 23:22:00,132.57
2017-05-02 22:56:00,131.83
2017-05-04 00:36:00,132.08
2017-05-04 23:12:00,132.82
2017-05-05 22:36:00,134.09
2017-05-07 00:52:00,133.58
2017-05-08 15:00:00,133.39
2017-05-09 04:48:00,133.58
2017-05-09 22:40:00,135.12
2017-05-10 00:46:00,134.93
2017-05-10 22:36:00,134.67
2017-05-12 00:04:00,133.64
2017-05-12 22:56:00,132.38
2017-05-16 23:28:00,131.39
2017-05-17 23:28:00,131.15
2017-05-18 23:40:00,132.14
2017-05-19 23:20:00,132.38
2017-05-20 22:42:00,131.64
2017-05-22 23:50:00,132.21
2017-05-23 22:50:00,131.71
2017-05-25 00:12:00,131.47
2017-05-25 23:32:00,130.26
2017-05-26 15:52:00,131.56
2017-05-26 21:44:00,130.26
2017-05-26 23:48:00,130.74
2017-05-27 15:44:00,132.05
2017-05-27 21:48:00,130.74
2017-05-28 12:04:00,132.05
2017-05-28 14:44:00,130.74
2017-05-31 00:44:00,130.5
2017-05-31 22:44:00,131.96
2017-06-01 23:50:00,131.47
2017-06-03 00:54:00,131.71
2017-06-03 05:16:00,133.03
2017-06-03 11:12:00,131.71
2017-06-03 22:50:00,134.35
2017-06-04 00:28:00,134.6
2017-06-04 05:42:00,131.96
2017-06-06 04:32:00,129.54
2017-06-07 03:00:00,128.83
2017-06-08 04:24:00,128.6
2017-06-10 03:10:00,128.36
2017-06-10 11:40:00,133.5
2017-06-10 13:24:00,42.0
2017-06-11 23:00:00,128.36
2017-06-12 11:04:00,133.32
2017-06-12 17:40:00,128.36
2017-06-13 03:52:00,128.13
2017-06-14 00:48:00,133.26
2017-06-14 04:08:00,132.54
2017-06-14 05:46:00,127.44
2017-06-15 03:02:00,126.52
2017-06-15 13:24:00,131.59
2017-06-15 20:04:00,126.52
2017-06-16 03:00:00,127.44
2017-06-17 03:50:00,126.52
2017-06-17 13:20:00,131.41
2017-06-18 02:26:00,131.59
2017-06-18 09:16:00,131.23
2017-06-18 20:48:00,132.49
2017-06-19 23:16:00,132.86
2017-06-20 04:28:00,133.1
2017-06-21 04:02:00,134.79
2017-06-22 04:20:00,135.28
2017-06-23 03:48:00,134.3
2017-06-25 03:24:00,133.57
2017-06-27 02:54:00,132.38
2017-06-28 04:00:00,133.33
2017-06-28 20:44:00,129.7
2017-06-28 22:24:00,133.33
2017-06-29 05:04:00,132.38
2017-06-30 03:56:00,133.82
2017-06-30 08:54:00,123.97
2017-06-30 22:12:00,123.79
2017-07-01 03:12:00,124.24
2017-07-01 08:58:00,129.54
2017-07-01 22:20:00,133.39
2017-07-02 03:28:00,134.3
2017-07-02 09:16:00,133.93
2017-07-02 21:32:00,134.3
2017-07-04 03:40:00,135.03
2017-07-06 03:16:00,135.78
2017-07-07 03:44:00,135.28
2017-07-08 03:54:00,134.06
2017-07-08 07:08:00,134.97
2017-07-08 17:12:00,138.26
2017-07-08 23:56:00,139.35
2017-07-09 11:36:00,138.81
2017-07-09 21:32:00,138.5
2017-07-09 23:14:00,140.14
2017-07-10 19:24:00,141.23
2017-07-11 02:04:00,140.14
2017-07-11 19:38:00,139.44
2017-07-13 01:00:00,140.53
2017-07-13 02:32:00,140.28
2017-07-13 17:34:00,141.36
2017-07-14 03:36:00,140.11
2017-07-14 05:18:00,137.96
2017-07-15 03:56:00,137.47
2017-07-16 04:00:00,136.5
2017-07-17 01:04:00,137.57
2017-07-17 19:08:00,138.63
2017-07-18 20:56:00,139.7
